epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,3547.78,0.55749,0.44907,1.27593,0.96392,0.93536,0.96363,0.92374,0.35689,0.40025,1.64015,0.000643795,0.000643795,0.000643795
64,3602.72,0.54979,0.43334,1.2647,0.963,0.93539,0.96796,0.93062,0.33243,0.37827,1.72517,0.000627292,0.000627292,0.000627292
65,3658.86,0.54858,0.43854,1.27866,0.94093,0.95221,0.96782,0.9278,0.35988,0.39104,1.35922,0.000610789,0.000610789,0.000610789
66,3714.68,0.55768,0.44175,1.26657,0.95531,0.95557,0.981,0.93723,0.36269,0.35741,1.47598,0.000594286,0.000594286,0.000594286
67,3771.46,0.54754,0.43828,1.26171,0.95636,0.93265,0.95723,0.91138,0.36579,0.42494,1.52022,0.000577782,0.000577782,0.000577782
68,3829.3,0.55121,0.43158,1.25537,0.94728,0.93207,0.95832,0.92245,0.35316,0.42574,1.3745,0.000561279,0.000561279,0.000561279
69,3883.52,0.5393,0.42973,1.25278,0.94445,0.93218,0.96179,0.92331,0.35099,0.40234,1.49223,0.000544776,0.000544776,0.000544776
70,3939.97,0.54858,0.43822,1.26754,0.9595,0.932,0.9642,0.92419,0.36869,0.40304,1.55135,0.000528272,0.000528272,0.000528272
71,3996.29,0.54328,0.4364,1.2611,0.95432,0.93185,0.953,0.92324,0.3359,0.39391,1.82905,0.000511769,0.000511769,0.000511769
72,4052.73,0.52998,0.42355,1.25161,0.94182,0.94339,0.9551,0.92344,0.34504,0.39718,1.63918,0.000495266,0.000495266,0.000495266
73,4107.34,0.53044,0.42277,1.27152,0.95489,0.95278,0.96907,0.93791,0.31985,0.34352,1.80841,0.000478762,0.000478762,0.000478762
74,4161.88,0.52713,0.4196,1.24493,0.94539,0.92318,0.96169,0.92913,0.33448,0.3942,1.66984,0.000462259,0.000462259,0.000462259
75,4217.16,0.52998,0.41636,1.23958,0.95989,0.9252,0.96489,0.92898,0.34483,0.38496,1.44715,0.000445756,0.000445756,0.000445756
76,4272.89,0.52779,0.43225,1.26589,0.95862,0.91908,0.96064,0.92759,0.33753,0.39642,1.6336,0.000429253,0.000429253,0.000429253
77,4328.56,0.51395,0.41466,1.24879,0.94171,0.94951,0.97269,0.94023,0.3334,0.35159,1.47335,0.000412749,0.000412749,0.000412749
78,4384.46,0.52423,0.41156,1.23543,0.94498,0.92918,0.9678,0.9313,0.34667,0.39969,1.41925,0.000396246,0.000396246,0.000396246
79,4438.87,0.52105,0.41145,1.24644,0.94444,0.93848,0.96888,0.9357,0.3299,0.3641,1.48057,0.000379743,0.000379743,0.000379743
80,4494.22,0.53149,0.42021,1.262,0.94908,0.93457,0.9591,0.92551,0.35969,0.40792,1.51818,0.000363239,0.000363239,0.000363239
81,4550.5,0.5025,0.39401,1.22688,0.96437,0.93161,0.96467,0.93776,0.33479,0.39503,1.38936,0.000346736,0.000346736,0.000346736
82,4605.53,0.51326,0.40674,1.23298,0.96707,0.93042,0.9656,0.93636,0.32656,0.38905,1.43544,0.000330233,0.000330233,0.000330233
83,4660.64,0.51169,0.40156,1.23399,0.95845,0.9294,0.96547,0.93448,0.32215,0.37652,1.42916,0.000313729,0.000313729,0.000313729
84,4714.89,0.4942,0.3961,1.22793,0.94706,0.92457,0.95416,0.9257,0.32747,0.423,1.42099,0.000297226,0.000297226,0.000297226
85,4770.59,0.50285,0.39404,1.22199,0.95407,0.93297,0.96065,0.93122,0.33407,0.39583,1.36659,0.000280723,0.000280723,0.000280723
86,4826.63,0.50268,0.39618,1.24674,0.9523,0.94076,0.9632,0.93775,0.31274,0.35526,2.01068,0.00026422,0.00026422,0.00026422
87,4882.11,0.51519,0.40634,1.24956,0.95305,0.92774,0.965,0.93887,0.31147,0.37599,1.38434,0.000247716,0.000247716,0.000247716
88,4937.35,0.50456,0.39903,1.24448,0.96342,0.92615,0.96965,0.94217,0.31684,0.35775,1.37098,0.000231213,0.000231213,0.000231213
89,4990.96,0.50113,0.39825,1.23134,0.96354,0.93229,0.96249,0.93817,0.30673,0.36944,1.51547,0.00021471,0.00021471,0.00021471
90,5047.25,0.49957,0.4012,1.24744,0.94063,0.93681,0.96154,0.93237,0.31572,0.38128,1.61594,0.000198206,0.000198206,0.000198206
91,5093.75,0.40507,0.31463,1.14904,0.94251,0.94357,0.96451,0.93186,0.33125,0.37558,1.41032,0.000181703,0.000181703,0.000181703
92,5135.27,0.41502,0.3182,1.1588,0.96133,0.92948,0.95948,0.93255,0.32592,0.38213,1.48602,0.0001652,0.0001652,0.0001652
93,5176.92,0.39556,0.30657,1.13857,0.95326,0.94304,0.96276,0.93833,0.31598,0.36607,1.53816,0.000148696,0.000148696,0.000148696
94,5217.51,0.38579,0.29803,1.14689,0.96061,0.93224,0.96097,0.93694,0.32287,0.38263,1.44469,0.000132193,0.000132193,0.000132193
95,5259.3,0.3965,0.30535,1.14971,0.9518,0.93961,0.96259,0.93924,0.30857,0.36598,1.68492,0.00011569,0.00011569,0.00011569
96,5301.9,0.38218,0.29123,1.12777,0.95326,0.94543,0.96111,0.93746,0.31915,0.37865,1.48675,9.91865e-05,9.91865e-05,9.91865e-05
97,5344.26,0.37943,0.29145,1.14648,0.95268,0.9463,0.96047,0.93894,0.30773,0.37133,1.59738,8.26832e-05,8.26832e-05,8.26832e-05
98,5385.47,0.3785,0.29507,1.14109,0.94685,0.94722,0.95819,0.93583,0.31621,0.38185,1.48333,6.61799e-05,6.61799e-05,6.61799e-05
99,5427.81,0.37784,0.28632,1.13039,0.95105,0.94244,0.95728,0.93565,0.31373,0.3775,1.5696,4.96766e-05,4.96766e-05,4.96766e-05
100,5470.02,0.37668,0.28672,1.12559,0.94848,0.94141,0.95772,0.93557,0.31454,0.38457,1.49667,3.31733e-05,3.31733e-05,3.31733e-05
